Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
MSI,Intel Core i7 11th Gen 1185G7 (3.00GHz),NVIDIA GeForce GTX 1650 Max-Q,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 10 Home,3.71 lbs.,1282.99
Lenovo,Intel Core i3-1115G4,Intel UHD Graphics,8GB,14 Inches,1920 x 1080,128GB SSD,Windows 10 Home,,308.0
MSI,Intel Core i9 13th Gen 13950HX (2.20GHz),NVIDIA GeForce RTX 4070,64GB,17.0 Inches,2560 x 1600,2TB NVMe SSD,Windows 11 Pro 64-bit,5.49 lbs.,3717.99
ASUS,Intel Core i7-1165G7,Intel HD Graphics,16GB,14 Inches,1920 x 1080,1TB SSD,Windows 10 Pro,,1349.99
MSI,Intel Core i7 13th Gen 13700H (2.40GHz),NVIDIA GeForce RTX 4060,32GB,16 Inches,2560 x 1600,2TB NVMe SSD,Windows 11 Pro,4.19 lbs.,1975.2
Samsung,Qualcomm Snapdragon 8 Gen 1,Adreno 730,12 GB,14.6 Inches,WQXGA+,256 GB,Android 12,,1199.99
MSI,Intel Core i3 12th Gen 1215U (1.20GHz),Intel UHD Graphics,8GB,14 Inches,1920 x 1080,512GB SSD,Windows 11 Home,2.62 lbs.,449.99
MSI,AMD Ryzen 5 7000 Series 7530U (2.00GHz),AMD Radeon Graphics,16GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,3.85 lbs.,699.99
ASUS,Intel Core i5 11th Gen 1135G7 (2.40GHz),Intel Iris Xe Graphics,8GB,15.6 Inches,1920 x 1080,256GB SSD,Windows 10 Pro 64-bit,3.81 lbs.,629.99
MSI,Intel Core i9 13th Gen 13900H (2.60GHz),NVIDIA GeForce RTX 4050,16GB,16 Inches,2560 x 1600,1TB PCIe SSD,Windows 11 Home,4.98 lbs.,1599.99
Dell,Intel N100 Quad-core (4 Core),Intel UHD Graphics,4 GB,11.6 Inches,1366 x 768,64 GB Flash Memory,Windows 11 Pro Education,,378.99
Dell,Intel Celeron N4500 Dual-core (2 Core) 1.10 GHz,Intel UHD Graphics,4 GB,11.6 Inches,1366 x 768,32 GB Flash Memory,Chrome OS,3.54 Pounds,199.0
GIGABYTE,Intel Core i7-12700H,NVIDIA GeForce RTX 3070 Ti,16GB,"17.3"" Thin Bezel FHD 1920x1080 IPS-level Anti-glare Display (360Hz, 72% NTSC)",1920x1080,1TB SSD,Windows 11 Home,5.95 lbs.,1920.0
HP,Intel Core i7-1370P (13th Gen),Intel Iris Xe Graphics,16GB,16 Inches,1920 x 1200,512GB M.2 SSD,Windows 11 Pro,3.81 lb,1925.99
